1|3295|546796999|2016-11-10|9999-12-31|M|Anders|Andrej|1946-09-18|DE|55469|Simmern/Hunsrück|Wagenknechtring|2022-04-08
2|3293|921688460|2017-08-01|9999-12-31|F|Rose|Agatha|1979-12-22|DE|18109|Rostock|Klaus-Ulrich-Weitzel-Platz|2022-04-08
3|3294|891017004|2019-04-19|9999-12-31|F|Spieß|Irmela|1957-04-10|DE|87561|Oberstdorf|Tibor-Henck-Straße|2022-04-08
4|3296|257536825|2017-04-24|2021-05-24|F|Hahn|Anke|1988-12-28|DE|44534|Lünen|Chantal-Kobelt-Straße|2022-04-08
5|3293|150544786|2020-06-17|9999-12-31|F|Albers|Marieluise|2001-06-12|DE|14480|Potsdam|Veit-Mühle-Gasse|2022-04-08
6|3294|700619600|2017-04-17|9999-12-31|M|Hänel|Dragan|1953-11-04|DE|06311|Helbra|Natalija-Nette-Ring|2022-04-08
7|3296|872769478|2018-03-05|9999-12-31|F|Schönland|Anja|1959-03-20|DE|86163|Augsburg|Mosemannplatz|2022-04-08
8|3294|797409793|2018-03-12|9999-12-31|M|Hering|Jorge|1952-12-21|DE|88367|Hohentengen|Birte-Radisch-Allee|2022-04-08
9|3295|516219192|2021-10-13|9999-12-31|M|Franke|Ekrem|1944-01-08|DE|72379|Hechingen|Stephanie-Pärtzelt-Weg|2022-04-08
10|3294|539093373|2020-01-22|9999-12-31|F|Kostolzin|Lucie|1942-07-28|DE|83673|Bichl|Heckerstr.|2022-04-08
11|3295|233981054|2016-08-05|9999-12-31|F|Jüttner|Felizitas|1978-11-23|DE|87669|Rieden am Forggensee|Marieluise-Riehl-Gasse|2022-04-08
12|3296|170663539|2020-05-16|9999-12-31|F|Jopich|Nadja|1963-08-03|DE|25797|Wöhrden|Sylvio-Rose-Platz|2022-04-08
13|3295|829061006|2022-03-30|9999-12-31|M|Peukert|Sebastian|1974-06-15|DE|56598|Rheinbrohl|Kramerstraße|2022-04-08
14|3293|380664999|2021-03-15|9999-12-31|M|Pruschke|Ilias|1998-02-03|DE|65347|Eltville am Rhein|Annita-Hartung-Weg|2022-04-08
15|3293|323812998|2021-03-27|9999-12-31|M|Wohlgemut|Rigo|1952-12-02|DE|90602|Pyrbaum|Liane-Zimmer-Weg|2022-04-08
16|3295|908701148|2019-03-21|9999-12-31|M|Kabus|Adalbert|1968-02-20|DE|95176|Konradsreuth|Marius-Löchel-Allee|2022-04-08
